ID,Artigo Comparado,Similaridade
Cobertura do tratamento da esclerose múltipla,Fisioterapia ambulatorial nos municípios e macrorregiõe,0.9515699148178101
Cobertura do tratamento da esclerose múltipla,Comparação de desfechos renais de mundo real com desfec,0.9441251754760742
Cobertura do tratamento da esclerose múltipla,Avaliação das práticas para o diagnóstico e monitoramen,0.9386367201805115
Cobertura do tratamento da esclerose múltipla,Prevalência e fatores associados a alterações na articu,0.934443473815918
Cobertura do tratamento da esclerose múltipla,Papel prognóstico da margem de ressecção em cirurgia on,0.9324885606765747
Cobertura do tratamento da esclerose múltipla,(Isomerização catalítica de n-octano com nontronita pil,0.8311386108398438
Cobertura do tratamento da esclerose múltipla,A estratégia dos “Campeões Nacionais” no Brasil. Uma pe,0.8372808694839478
Cobertura do tratamento da esclerose múltipla,Lucros e votos: os empresários e o governo na política ,0.8430215120315552
Cobertura do tratamento da esclerose múltipla,Controle alternativo de pinta-preta em genótipos de mam,0.8458238840103149
Cobertura do tratamento da esclerose múltipla,"Trump tropical, ou um conto muito brasileiro? O ressent",0.8494182229042053
Aplicação dos Métodos de Variância de Estimativa G,REPRODUTIBILIDADE E EQUIVALÊNCIA DO APLICATIVO COBBMETE,0.931467592716217
Aplicação dos Métodos de Variância de Estimativa G,[Predição do peso vivo de ovelhas deslanadas em crescim,0.9289047718048096
Aplicação dos Métodos de Variância de Estimativa G,ATRIBUTOS FÍSICOS DO SOLO E PRODUTIVIDADE DO FEIJOEIRO ,0.9279546737670898
Aplicação dos Métodos de Variância de Estimativa G,[Predição do peso corporal de cabras da raça Alpina por,0.9267699718475342
Aplicação dos Métodos de Variância de Estimativa G,"Atributos físicos, químicos e estruturais do solo em ag",0.9263095855712891
Aplicação dos Métodos de Variância de Estimativa G,A estratégia dos “Campeões Nacionais” no Brasil. Uma pe,0.8132905960083008
Aplicação dos Métodos de Variância de Estimativa G,Controle alternativo de pinta-preta em genótipos de mam,0.8222665786743164
Aplicação dos Métodos de Variância de Estimativa G,Lucros e votos: os empresários e o governo na política ,0.8279819488525391
Aplicação dos Métodos de Variância de Estimativa G,POLITICAL OPPORTUNITIES IN A COALITION PRESIDENTIALISM,0.8333003520965576
Aplicação dos Métodos de Variância de Estimativa G,DESIGUALDADES E A NOVA DEMOCRACIA BRASILEIRA: A DISTRIB,0.8358514308929443
"Trump tropical, ou um conto muito brasileiro? ",Avaliando a quarta onda da direita populista radical:as,0.9201107025146484
"Trump tropical, ou um conto muito brasileiro? ",POLITICAL OPPORTUNITIES IN A COALITION PRESIDENTIALISM,0.8746700286865234
"Trump tropical, ou um conto muito brasileiro? ",Coalizões para o desenvolvimento: uma nova interpretaçã,0.8722149133682251
"Trump tropical, ou um conto muito brasileiro? ",Validação da versão em português do escore da síndrome ,0.8627601861953735
"Trump tropical, ou um conto muito brasileiro? ",Prevalência e fatores associados a alterações na articu,0.8619760870933533
"Trump tropical, ou um conto muito brasileiro? ",Controle alternativo de pinta-preta em genótipos de mam,0.7767703533172607
"Trump tropical, ou um conto muito brasileiro? ","“ALT, AST, GGT, Bili T, HB, HBA1C, CREAT, PT, aPPT, AFP",0.7878578901290894
"Trump tropical, ou um conto muito brasileiro? ",(Isomerização catalítica de n-octano com nontronita pil,0.7951771020889282
"Trump tropical, ou um conto muito brasileiro? ",Adubação potássica aplicada por diferentes métodos na c,0.7968118190765381
"Trump tropical, ou um conto muito brasileiro? ",Influência da idade e sexo no perfil bioquímico sanguín,0.7984840869903564
